image_path,group_id,entity_name,entity_value,entity_number,entity_unit,unit_encoded,extracted_text
output_images/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,500.0,gram,11,
output_images/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,1.0,cup,5,
output_images/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,0.709,gram,11,
output_images/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,0.709,gram,11,
output_images/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,1400.0,milligram,19,"PSYLLIUM
HUSK

1400"
output_images/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,1400.0,milligram,19,
output_images/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,1400.0,milligram,19,"PSYLLIUM
HUSK
100.
[ey

Hertiect"
output_images/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,1400.0,milligram,19,
output_images/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,1400.0,milligram,19,
output_images/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,1400.0,milligram,19,"NEW LOOK.
SAME TRUSTED QUALITY.

PSYLLIUM
HUSK
oe a
ao

ortiesch"
output_images/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram,30.0,kilogram,14,
output_images/61oMj2iXOuL.jpg,308856,item_weight,10 kilogram to 15 kilogram,10.0,kilogram,14,
output_images/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce,3.53,ounce,22,
output_images/81fOxWWWKYL.jpg,281678,item_weight,3.53 ounce,3.53,ounce,22,"SUDIGESTIVE HEALTH
tion in antioxianrs
4 COMBATS DISEASES"
output_images/81dzao1Ob4L.jpg,281678,item_weight,53 ounce,53.0,ounce,22,
output_images/91-iahVGEDL.jpg,281678,item_weight,100 gram,100.0,gram,11,"other
brands

K Loose pecteaing
X imputed

K oes net bow ety
K€ Added preserves
X Mrocested cemicaly"
output_images/81S2+GnYpTL.jpg,731432,item_weight,200 gram,200.0,gram,11,
output_images/81e2YtCOKvL.jpg,731432,item_weight,1 kilogram,1.0,kilogram,14,
output_images/81RNsNEM1EL.jpg,731432,item_weight,200 gram,200.0,gram,11,
output_images/91prZeizZnL.jpg,731432,item_weight,200 gram,200.0,gram,11,
